# CUTOFF	ENERGY [MeV]	OMEGA [MeV]	PHSH [deg]	ERE [fm^-(2l+1)]	Flag G_C	Flag G_CT	G_C(rmin,rmin) [MeV^-1 fm^-3]	 G_CT(rmin,rmin) [MeV^-1 fm^-3]
0.0	1.0186	0.5	-26.715506372643432	-0.15863453558558807	0	0	-24.106916498571596	-24.101720190276787
0.0	1.0264	0.5	-28.15482454259319	-0.14673863624952402	0	0	-24.106920056976882	-24.102007495203573
0.0	1.0342	0.5	-29.593404021293086	-0.13587369322060408	0	0	-24.10692389533894	-24.102270243243453
0.0	1.042	0.5	-31.030906443136278	-0.12589596441660456	0	0	-24.106927989668623	-24.102511876155045
0.0	1.0497	0.5	-32.448657455572054	-0.11680014281579904	0	0	-24.106932253388983	-24.102732473765908
0.0	1.0575	0.5	-33.88329178252223	-0.10825153096753015	0	0	-24.1069367627747	-24.102940104856852
0.0	1.0653	0.5	-35.316285347095004	-0.10028897835305284	0	0	-24.106941425034133	-24.103133778582112
0.0	1.0731	0.5	-36.747631884912806	-0.09284111735007489	0	0	-24.106946198410895	-24.103315173781365
0.0	1.0808	0.5	-38.159102408872506	-0.08593387608142108	0	0	-24.106950976933827	-24.10348359665107
0.0	1.0886	0.5	-39.58754575092859	-0.07933570042373968	0	0	-24.10695584064896	-24.10364463483907
0.0	1.0964	0.5	-41.014902252563935	-0.0730933463310908	0	0	-24.106960683411547	-24.103797092421292
0.0	1.1042	0.5	-42.44153601536703	-0.06716695118856228	0	0	-24.106965461874776	-24.103941886985307
0.0	1.1119	0.5	-43.84959568817775	-0.06159234269899948	0	0	-24.1069700756013	-24.104078090549265
0.0	1.1197	0.5	-45.276140441956485	-0.05619434783281997	0	0	-24.106974606270235	-24.104209934954465
0.0	1.1275	0.5	-46.70341354807184	-0.05101999481121733	0	0	-24.106978958168263	-24.10433622712576
0.0	1.1353	0.5	-48.13196647545805	-0.04604531551845263	0	0	-24.106983100471	-24.104457513928086
0.0	1.143	0.5	-49.5439996925169	-0.04130951120166661	0	0	-24.106986958614335	-24.104572810956117
0.0	1.1508	0.5	-50.976717610450095	-0.036670906104376504	0	0	-24.106990612136002	-24.104685542159924
0.0	1.1586	0.5	-52.412290742092196	-0.03217532551877057	0	0	-24.10699399396228	-24.10479457114629
0.0	1.1664	0.5	-53.85115773627559	-0.027807846577147882	0	0	-24.106997094411867	-24.10490024783323
0.0	1.1741	0.5	-55.27516475322093	-0.02360903885373597	0	0	-24.106999875323137	-24.105001590321333
0.0	1.1819	0.5	-56.72157212641804	-0.01945814662896756	0	0	-24.107002410766004	-24.105101514516967
0.0	1.1897	0.5	-58.17208603843309	-0.015399881354403538	0	0	-24.10700467022382	-24.10519894652722
0.0	1.1975	0.5	-59.62677215869689	-0.01142487136479118	0	0	-24.10700666645905	-24.1052941248745
0.0	1.2053	0.5	-61.08558074545021	-0.007524770343371727	0	0	-24.107008417182662	-24.10538726830948
0.0	1.213	0.5	-62.52956763615524	-0.0037408752378830165	0	0	-24.107009926298286	-24.10547741839288
0.0	1.2208	0.5	-63.99596103519572	3.167714011188122e-05	0	0	-24.107011258781423	-24.10556710092623
0.0	1.2286	0.5	-65.46564365830442	0.0037492901915219534	0	0	-24.107012422952703	-24.105655306655667
0.0	1.2364	0.5	-66.93812715873489	0.007417329101469763	0	0	-24.107013450690065	-24.105742196629937
0.0	1.2441	0.5	-68.39391895386659	0.010994462080824087	0	0	-24.107014364362527	-24.10582682922877
0.0	1.2519	0.5	-69.87019403819076	0.014577989191803663	0	0	-24.107015222146742	-24.105911542751855
0.0	1.2597	0.5	-71.34736225964029	0.018125266758230042	0	0	-24.10701604675331	-24.105995364496057
0.0	1.2675	0.5	-72.82469407320177	0.021640109048477192	0	0	-24.107016872961957	-24.10607842102858
0.0	1.2752	0.5	-74.28252181722088	0.02508159725221233	0	0	-24.107017723060203	-24.106159779837352
0.0	1.283	0.5	-75.75798582826238	0.028542543321162538	0	0	-24.107018650749286	-24.106241668111725
0.0	1.2908	0.5	-77.23144348842077	0.03198144367605761	0	0	-24.107019674924047	-24.106323136045447
0.0	1.2986	0.5	-78.7022379429646	0.035401625525873455	0	0	-24.107020822365605	-24.106404290475464
0.0	1.3063	0.5	-80.15098537188443	0.03876285184376543	0	0	-24.107022098942142	-24.106484198176926
